amount,captured_at,currency,customer_id,ingested_at,merchant_id,order_id,original,payment_id,payment_method,reference_id,source,source_record_id
48447.50,2026-01-05T09:41:00+00:00,INR,CUS_94518,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000001,"{'amount': '48447.50', 'captured_at': '2026-01-05T09:41:00+00:00'}",PAY_000001,wallet,REF_000001,payments.csv,payments:PAY_000001
16311.25,2026-01-05T09:56:00+00:00,INR,CUS_22015,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000002,"{'amount': '16311.25', 'captured_at': '2026-01-05T09:56:00+00:00'}",PAY_000002,upi,REF_000002,payments.csv,payments:PAY_000002
74300.00,2026-01-05T10:02:00+00:00,INR,CUS_18992,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000003,"{'amount': '74300.00', 'captured_at': '2026-01-05T10:02:00+00:00'}",PAY_000003,card,REF_000003,payments.csv,payments:PAY_000003
74300.00,2026-01-05T10:06:00+00:00,INR,CUS_18992,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000003,"{'amount': '74300.00', 'captured_at': '2026-01-05T10:06:00+00:00'}",PAY_000004,card,REF_000003,payments.csv,payments:PAY_000004
19264.00,2026-01-05T10:13:00+00:00,INR,CUS_80807,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000005,"{'amount': '19264.00', 'captured_at': '2026-01-05T10:13:00+00:00'}",PAY_000005,upi,REF_000005,payments.csv,payments:PAY_000005
2247.00,2026-01-05T10:27:00+00:00,INR,CUS_41186,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000006,"{'amount': '2247.00', 'captured_at': '2026-01-05T10:27:00+00:00'}",PAY_000006,upi,REF_000006,payments.csv,payments:PAY_000006
55476.50,2026-01-05T10:27:00+00:00,INR,CUS_24896,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000007,"{'amount': '55476.50', 'captured_at': '2026-01-05T10:27:00+00:00'}",PAY_000007,wallet,REF_000007,payments.csv,payments:PAY_000007
67571.50,2026-01-05T10:46:00+00:00,INR,CUS_24293,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000008,"{'amount': '67571.50', 'captured_at': '2026-01-05T10:46:00+00:00'}",PAY_000008,card,REF_000008,payments.csv,payments:PAY_000008
86663.50,2026-01-05T10:37:00+00:00,INR,CUS_49535,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000009,"{'amount': '86663.50', 'captured_at': '2026-01-05T10:37:00+00:00'}",PAY_000009,upi,REF_000009,payments.csv,payments:PAY_000009
56172.75,2026-01-05T10:58:00+00:00,INR,CUS_24150,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000010,"{'amount': '56172.75', 'captured_at': '2026-01-05T10:58:00+00:00'}",PAY_000010,upi,REF_000010,payments.csv,payments:PAY_000010
