amount,currency,ingested_at,merchant_id,original,payment_id,reason,refund_id,refunded_at,source,source_record_id
18811.08,INR,2026-01-05T09:30:00+00:00,MCH_TRAVEL,"{'amount': '18811.08', 'refunded_at': '2026-01-05T21:10:00+00:00'}",PAY_000022,customer_request,REFUND_000022,2026-01-05T21:10:00+00:00,refunds.csv,refunds:REFUND_000022
13826.31,INR,2026-01-05T09:30:00+00:00,MCH_SWIFT,"{'amount': '13826.31', 'refunded_at': '2026-01-06T10:28:00+00:00'}",PAY_000032,customer_request,REFUND_000032,2026-01-06T10:28:00+00:00,refunds.csv,refunds:REFUND_000032
32676.15,INR,2026-01-05T09:30:00+00:00,MCH_SAAS,"{'amount': '32676.15', 'refunded_at': '2026-01-06T07:35:00+00:00'}",PAY_000041,customer_request,REFUND_000041,2026-01-06T07:35:00+00:00,refunds.csv,refunds:REFUND_000041
6665.14,INR,2026-01-05T09:30:00+00:00,MCH_ZERO,"{'amount': '6665.14', 'refunded_at': '2026-01-06T06:30:00+00:00'}",PAY_000058,customer_request,REFUND_000058,2026-01-06T06:30:00+00:00,refunds.csv,refunds:REFUND_000058
8444.91,INR,2026-01-05T09:30:00+00:00,MCH_CAFE,"{'amount': '8444.91', 'refunded_at': '2026-01-06T17:08:00+00:00'}",PAY_000064,customer_request,REFUND_000064,2026-01-06T17:08:00+00:00,refunds.csv,refunds:REFUND_000064
18962.72,INR,2026-01-05T09:30:00+00:00,MCH_TRAVEL,"{'amount': '18962.72', 'refunded_at': '2026-01-06T07:18:00+00:00'}",PAY_000066,customer_request,REFUND_000066,2026-01-06T07:18:00+00:00,refunds.csv,refunds:REFUND_000066
7679.15,INR,2026-01-05T09:30:00+00:00,MCH_SAAS,"{'amount': '7679.15', 'refunded_at': '2026-01-06T12:42:00+00:00'}",PAY_000102,customer_request,REFUND_000102,2026-01-06T12:42:00+00:00,refunds.csv,refunds:REFUND_000102
7498.53,INR,2026-01-05T09:30:00+00:00,MCH_SWIFT,"{'amount': '7498.53', 'refunded_at': '2026-01-07T02:33:00+00:00'}",PAY_000103,customer_request,REFUND_000103,2026-01-07T02:33:00+00:00,refunds.csv,refunds:REFUND_000103
30349.13,INR,2026-01-05T09:30:00+00:00,MCH_CAFE,"{'amount': '30349.13', 'refunded_at': '2026-01-06T14:43:00+00:00'}",PAY_000121,customer_request,REFUND_000121,2026-01-06T14:43:00+00:00,refunds.csv,refunds:REFUND_000121
14420.34,INR,2026-01-05T09:30:00+00:00,MCH_TRAVEL,"{'amount': '14420.34', 'refunded_at': '2026-01-07T00:59:00+00:00'}",PAY_000123,customer_request,REFUND_000123,2026-01-07T00:59:00+00:00,refunds.csv,refunds:REFUND_000123
14291.44,INR,2026-01-05T09:30:00+00:00,MCH_SAAS,"{'amount': '14291.44', 'refunded_at': '2026-01-06T11:45:00+00:00'}",PAY_000138,customer_request,REFUND_000138,2026-01-06T11:45:00+00:00,refunds.csv,refunds:REFUND_000138
