amount,batch_id,currency,ingested_at,merchant_id,original,payment_id,settled_at,settlement_id,source,source_record_id
48447.50,BATCH_20260106,INR,2026-01-06T14:41:00+00:00,MCH_ZERO,"{'amount': '48447.50', 'settled_at': '2026-01-06T14:41:00+00:00'}",PAY_000001,2026-01-06T14:41:00+00:00,SET_000001,settlements.csv,settlements:SET_000001
16099.46,BATCH_20260107,INR,2026-01-07T10:56:00+00:00,MCH_SWIFT,"{'amount': '16099.46', 'settled_at': '2026-01-07T10:56:00+00:00'}",PAY_000002,2026-01-07T10:56:00+00:00,SET_000002,settlements.csv,settlements:SET_000002
18838.19,BATCH_20260116,INR,2026-01-16T10:13:00+00:00,MCH_CAFE,"{'amount': '18838.19', 'settled_at': '2026-01-16T10:13:00+00:00'}",PAY_000005,2026-01-16T10:13:00+00:00,SET_000005,settlements.csv,settlements:SET_000005
1034.38,BATCH_20260107,INR,2026-01-07T13:27:00+00:00,MCH_SWIFT,"{'amount': '1034.38', 'settled_at': '2026-01-07T13:27:00+00:00'}",PAY_000006,2026-01-07T13:27:00+00:00,SET_000006,settlements.csv,settlements:SET_000006
66082.93,BATCH_20260107,INR,2026-01-07T11:46:00+00:00,MCH_CAFE,"{'amount': '66082.93', 'settled_at': '2026-01-07T11:46:00+00:00'}",PAY_000008,2026-01-07T11:46:00+00:00,SET_000008,settlements.csv,settlements:SET_000008
85010.89,BATCH_20260108,INR,2026-01-08T18:37:00+00:00,MCH_TRAVEL,"{'amount': '85010.89', 'settled_at': '2026-01-08T18:37:00+00:00'}",PAY_000009,2026-01-08T18:37:00+00:00,SET_000009,settlements.csv,settlements:SET_000009
54763.43,BATCH_20260108,INR,2026-01-08T12:58:00+00:00,MCH_SAAS,"{'amount': '54763.43', 'settled_at': '2026-01-08T12:58:00+00:00'}",PAY_000010,2026-01-08T12:58:00+00:00,SET_000010,settlements.csv,settlements:SET_000010
78267.34,BATCH_20260107,INR,2026-01-07T17:57:00+00:00,MCH_CAFE,"{'amount': '78267.34', 'settled_at': '2026-01-07T17:57:00+00:00'}",PAY_000011,2026-01-07T17:57:00+00:00,SET_000011,settlements.csv,settlements:SET_000011
68440.18,BATCH_20260107,INR,2026-01-07T13:12:00+00:00,MCH_HEALTH,"{'amount': '68440.18', 'settled_at': '2026-01-07T13:12:00+00:00'}",PAY_000012,2026-01-07T13:12:00+00:00,SET_000012,settlements.csv,settlements:SET_000012
83983.79,BATCH_20260108,INR,2026-01-08T18:19:00+00:00,MCH_TRAVEL,"{'amount': '83983.79', 'settled_at': '2026-01-08T18:19:00+00:00'}",PAY_000013,2026-01-08T18:19:00+00:00,SET_000013,settlements.csv,settlements:SET_000013
58424.94,BATCH_20260107,INR,2026-01-07T18:17:00+00:00,MCH_CAFE,"{'amount': '58424.94', 'settled_at': '2026-01-07T18:17:00+00:00'}",PAY_000014,2026-01-07T18:17:00+00:00,SET_000014,settlements.csv,settlements:SET_000014
85550.51,BATCH_20260107,INR,2026-01-07T13:32:00+00:00,MCH_CAFE,"{'amount': '85550.51', 'settled_at': '2026-01-07T13:32:00+00:00'}",PAY_000015,2026-01-07T13:32:00+00:00,SET_000015,settlements.csv,settlements:SET_000015
12519.25,BATCH_20260106,INR,2026-01-06T12:39:00+00:00,MCH_ZERO,"{'amount': '12519.25', 'settled_at': '2026-01-06T12:39:00+00:00'}",PAY_000016,2026-01-06T12:39:00+00:00,SET_000016,settlements.csv,settlements:SET_000016
